Temperature Sensor-1,Vibration Sensor-1,Vibration Sensor-2,Vibration Sensor-3,health_status
23.513727,572,6469,2147483647,Bad Health
24.131281,7667,4258,2147483647,Bad Health
23.423761,7846,6572,2147483647,Bad Health
23.262323,3140,2046,2147483647,Bad Health
24.131281,2283,7652,256,Moderate Health
24.241327,4367,815,559,Good Health
24.259668,6844,6030,2147483647,Bad Health
24.03985,1000,3268,2147483647,Bad Health
24.406977,1526,5392,305,Moderate Health
23.622004,5208,2329,2147483647,Bad Health
24.333246,6492,7999,2147483647,Bad Health
24.333246,1758,5576,2147483647,Bad Health
24.815027,4594,1894,2147483647,Bad Health
23.730555,245,1433,7524,Good Health
24.443872,7072,1818,2147483647,Bad Health
24.259668,166,1941,2147483647,Bad Health
23.333979,1643,3451,2147483647,Bad Health
24.443872,2246,316,7782,Good Health
23.622004,1920,5621,2147483647,Bad Health
24.628992,2935,6648,2147483647,Bad Health
23.585871,7411,6614,2147483647,Bad Health
24.351679,6229,4324,2147483647,Bad Health
24.406977,2943,1653,2147483647,Bad Health
24.259668,4979,6260,2147483647,Bad Health
24.406977,3198,7905,3399,Moderate Health
24.462336,6515,3775,2147483647,Bad Health
24.443872,7107,4757,2147483647,Bad Health
23.803095,112,3706,2147483647,Bad Health
23.857599,3370,4691,2147483647,Bad Health
23.333979,112,926,2147483647,Bad Health
23.658136,7999,4599,6706,Moderate Health
23.784967,4968,1575,2147483647,Bad Health
23.69433,189,5694,2147483647,Bad Health
23.64007,2260,7342,2147483647,Bad Health
23.622004,109,362,2147483647,Bad Health
24.388514,2306,263,2147483647,Bad Health
24.462336,5004,7902,2147483647,Bad Health
24.351679,7104,1758,3853,Moderate Health
24.259668,517,3709,2147483647,Bad Health
24.296442,446,4812,2147483647,Bad Health
24.499323,2521,6032,2147483647,Bad Health
24.406977,1134,1624,2147483647,Bad Health
24.388514,5710,691,2147483647,Bad Health
23.64007,1126,446,1561,Good Health
24.443872,2380,1580,2147483647,Bad Health
23.839441,876,3712,2147483647,Bad Health
24.443872,5025,3352,2147483647,Bad Health
24.425409,3391,5526,2147483647,Bad Health
24.462336,385,7592,2147483647,Bad Health
23.730555,2246,2068,4753,Good Health
24.462336,8000,3455,2147483647,Bad Health
23.985071,5901,5515,2147483647,Bad Health
24.703302,6396,222,2147483647,Bad Health
24.703302,7417,2013,2147483647,Bad Health
24.759119,4891,2554,2147483647,Bad Health
24.85235,170,7533,2147483647,Bad Health
24.740503,4272,4527,2147483647,Bad Health
24.573359,3565,4372,2147483647,Bad Health
24.647547,3626,6419,2147483647,Bad Health
24.703302,8000,4639,3205,Moderate Health
24.573359,3383,3731,2147483647,Bad Health
24.499323,4562,5589,2147483647,Bad Health
24.573359,277,5525,2147483647,Bad Health
23.839441,1442,388,2147483647,Bad Health
23.985071,1755,250,2147483647,Bad Health
23.985071,318,4711,2147483647,Bad Health
24.721888,7536,182,2147483647,Bad Health
23.985071,1246,3147,2147483647,Bad Health
24.759119,5270,173,2147483647,Bad Health
24.703302,8000,4705,2147483647,Bad Health
24.815027,2339,2334,2147483647,Bad Health
24.85235,1431,5198,6212,Moderate Health
24.908411,901,6596,2147483647,Bad Health
24.703302,2253,7999,2147483647,Bad Health
24.666132,4034,7836,2147483647,Bad Health
24.833673,2384,7334,2147483647,Bad Health
24.740503,246,5087,2147483647,Bad Health
24.759119,160,4148,31,Moderate Health
24.703302,4708,4493,2147483647,Bad Health
23.784967,2224,6707,6260,Moderate Health
24.703302,3773,2761,6464,Good Health
23.985071,3567,3820,2147483647,Bad Health
25.171137,7987,1961,2147483647,Bad Health
24.003321,4278,240,2147483647,Bad Health
24.703302,1768,7999,2147483647,Bad Health
24.222956,180,5025,3209,Moderate Health
24.259668,494,319,2147483647,Bad Health
24.721888,1343,1959,375,Good Health
24.666132,2208,3569,2147483647,Bad Health
24.259668,3634,3519,235,Good Health
25.039515,1766,4790,2147483647,Bad Health
24.983271,6077,3542,2147483647,Bad Health
24.983271,5851,4461,8000,Moderate Health
24.945826,489,2634,3765,Good Health
24.703302,104,7817,2147483647,Bad Health
23.985071,3829,2468,2147483647,Bad Health
24.222956,2079,2316,2147483647,Bad Health
24.02157,2245,5576,4156,Moderate Health
24.927118,196,2938,2147483647,Bad Health
25.020777,3504,3020,2147483647,Bad Health
24.927118,945,503,7592,Good Health
25.171137,7902,878,2147483647,Bad Health
25.133478,182,2824,3079,Good Health
23.948603,2308,3899,2147483647,Bad Health
24.833673,1951,5263,2147483647,Bad Health
24.351679,3572,7908,5089,Moderate Health
25.077082,1966,3952,2147483647,Bad Health
27.647669,300,2247,2147483647,Bad Health
25.341028,7138,7913,2147483647,Bad Health
24.11297,1749,1061,2147483647,Bad Health
25.265406,2361,3279,2147483647,Bad Health
24.333246,1973,4074,5816,Good Health
25.058283,2617,7851,2147483647,Bad Health
25.133478,2205,4258,4594,Moderate Health
24.983271,3409,5510,2147483647,Bad Health
25.152308,7648,6446,2279,Moderate Health
27.728632,4640,4334,2147483647,Bad Health
25.227655,1713,3016,995,Good Health
24.314844,938,5915,2147483647,Bad Health
25.114679,3268,6837,2683,Moderate Health
24.351679,169,6996,2147483647,Bad Health
25.189966,3272,3763,4366,Good Health
24.351679,2159,5647,2147483647,Bad Health
25.020777,3497,7084,2147483647,Bad Health
24.721888,99,1552,2147483647,Bad Health
24.945826,7151,7413,31,Moderate Health
25.039515,1621,1883,2147483647,Bad Health
24.833673,4022,7597,2147483647,Bad Health
25.039515,7221,3630,2147483647,Bad Health
24.204615,4831,2690,2147483647,Bad Health
25.058283,117,5635,2147483647,Bad Health
25.020777,5277,1201,4589,Moderate Health
25.039515,193,4661,2147483647,Bad Health
24.759119,7896,493,379,Moderate Health
24.0581,224,4111,2147483647,Bad Health
24.945826,8000,3393,2147483647,Bad Health
24.222956,382,603,2147483647,Bad Health
25.077082,1500,3306,2147483647,Bad Health
24.647547,2136,479,2147483647,Bad Health
24.759119,318,4201,2147483647,Bad Health
24.222956,5804,230,2147483647,Bad Health
25.020777,122,3566,2147483647,Bad Health
25.359949,229,7273,2147483647,Bad Health
25.058283,1856,6091,2147483647,Bad Health
25.077082,3504,2434,2147483647,Bad Health
25.058283,509,7154,2147483647,Bad Health
25.227655,160,609,2147483647,Bad Health
25.397821,6084,1825,439,Moderate Health
25.171137,7673,7999,2147483647,Bad Health
24.703302,7297,331,677,Moderate Health
25.284296,166,6705,2147483647,Bad Health
24.333246,1807,496,3137,Good Health
25.265406,2678,1142,2147483647,Bad Health
24.703302,5552,6403,7904,Moderate Health
25.284296,3624,3308,2147483647,Bad Health
24.777735,5204,3323,2147483647,Bad Health
25.133478,6726,564,2147483647,Bad Health
25.341028,3501,1869,2147483647,Bad Health
25.397821,7641,768,2147483647,Bad Health
25.058283,7579,2186,2147483647,Bad Health
24.314844,8000,6658,2147483647,Bad Health
25.397821,257,1244,2147483647,Bad Health
25.378901,8000,6409,2147483647,Bad Health
25.587854,4461,7561,2147483647,Bad Health
25.549768,107,1566,2147483647,Bad Health
24.703302,2811,7273,2147483647,Bad Health
25.454737,4447,330,2147483647,Bad Health
24.703302,309,3873,8000,Good Health
24.759119,4950,1047,2147483647,Bad Health
25.530756,6891,190,243,Moderate Health
25.549768,2199,494,2147483647,Bad Health
25.664148,297,2697,2147483647,Bad Health
25.284296,3679,2637,2185,Good Health
25.454737,3386,1180,3953,Good Health
29.327021,2639,4588,2147483647,Bad Health
24.462336,6839,3707,2147483647,Bad Health
24.573359,4598,547,2147483647,Bad Health
24.927118,8000,938,2147483647,Bad Health
25.435755,125,4129,2147483647,Bad Health
25.587854,3220,6400,2147483647,Bad Health
24.833673,4516,3576,5916,Good Health
25.568811,8000,4632,367,Moderate Health
25.473719,4202,688,7964,Good Health
25.587854,2271,7712,317,Moderate Health
24.703302,4223,4368,2147483647,Bad Health
25.397821,3841,7427,2147483647,Bad Health
24.983271,2258,5583,2340,Moderate Health
25.397821,2589,6006,2147483647,Bad Health
25.435755,6600,3318,2147483647,Bad Health
24.85235,2652,4309,5645,Moderate Health
25.492731,2248,4896,4018,Moderate Health
24.85235,4451,1176,3953,Good Health
25.359949,3580,2118,3654,Good Health
25.435755,2266,759,2147483647,Bad Health
25.077082,4449,3209,2147483647,Bad Health
24.721888,2121,2209,2147483647,Bad Health
25.683252,655,7849,2147483647,Bad Health
25.435755,431,1790,2147483647,Bad Health
25.664148,6455,4208,2147483647,Bad Health
25.359949,1759,7319,2147483647,Bad Health
25.378901,612,4400,3239,Moderate Health
25.568811,722,1939,2147483647,Bad Health
25.874781,5716,1435,2147483647,Bad Health
25.913233,3366,744,2147483647,Bad Health
25.683252,7999,3369,2147483647,Bad Health
25.740595,2253,1261,299,Good Health
25.683252,3755,373,2147483647,Bad Health
24.908411,4018,3445,2147483647,Bad Health
25.171137,203,2068,2147483647,Bad Health
24.833673,8000,4903,2147483647,Bad Health
25.683252,311,3413,2147483647,Bad Health
25.683252,5347,6577,2147483647,Bad Health
25.039515,598,880,2147483647,Bad Health
25.798059,4551,2256,134,Good Health
26.067377,2211,3310,298,Good Health
25.039515,200,1626,2147483647,Bad Health
25.759729,7106,700,2147483647,Bad Health
25.227655,6838,3084,2147483647,Bad Health
26.222193,125,3417,2147483647,Bad Health
26.183435,5923,754,2147483647,Bad Health
26.144709,7714,883,2147483647,Bad Health
25.817225,2693,5720,2147483647,Bad Health
24.945826,1448,631,2147483647,Bad Health
25.077082,3565,5461,2147483647,Bad Health
25.740595,7519,1263,2147483647,Bad Health
24.983271,437,829,2147483647,Bad Health
25.702356,2309,2560,2147483647,Bad Health
25.454737,2213,5076,7438,Moderate Health
27.405939,2289,6513,2635,Moderate Health
25.664148,1008,3843,2147483647,Bad Health
25.817225,865,3568,2147483647,Bad Health
25.759729,247,4458,2147483647,Bad Health
25.473719,366,7671,2147483647,Bad Health
25.798059,6640,502,2147483647,Bad Health
25.817225,7552,5766,2147483647,Bad Health
25.874781,208,7708,2147483647,Bad Health
26.416712,5086,369,8000,Moderate Health
26.028772,5062,2616,2570,Moderate Health
23.495722,6013,4010,2147483647,Bad Health
26.183435,178,6211,2147483647,Bad Health
26.31933,2140,326,2147483647,Bad Health
26.222193,2972,5089,3701,Moderate Health
26.202814,6837,4020,571,Moderate Health
26.436213,2796,6593,2147483647,Bad Health
25.664148,7864,4785,31,Moderate Health
26.202814,1256,1727,2147483647,Bad Health
26.299891,2498,390,2147483647,Bad Health
26.31933,216,1424,7733,Good Health
26.241602,4434,621,2147483647,Bad Health
26.222193,2169,7038,690,Moderate Health
26.33877,984,295,2147483647,Bad Health
26.183435,2063,3762,2147483647,Bad Health
26.144709,197,4576,2147483647,Bad Health
26.35824,2620,5100,2147483647,Bad Health
26.183435,134,5444,2147483647,Bad Health
26.436213,7135,7414,2147483647,Bad Health
26.397211,7213,4213,2147483647,Bad Health
26.299891,2023,2320,2147483647,Bad Health
25.568811,4756,5635,2147483647,Bad Health
26.183435,1969,3651,2147483647,Bad Health
26.397211,2644,4468,2147483647,Bad Health
26.202814,914,1621,2147483647,Bad Health
26.183435,2258,5917,2147483647,Bad Health
26.927546,4387,2878,3315,Good Health
25.359949,6746,4826,4261,Moderate Health
26.397211,4471,2082,2147483647,Bad Health
26.573084,180,2073,2147483647,Bad Health
26.514368,5132,746,2147483647,Bad Health
26.631922,4823,6380,2147483647,Bad Health
26.730188,3130,182,2147483647,Bad Health
26.53393,7599,7071,2771,Moderate Health
26.53393,128,1084,2147483647,Bad Health
26.416712,168,7844,2147483647,Bad Health
26.222193,190,6636,2147483647,Bad Health
26.53393,316,4823,2147483647,Bad Health
26.436213,2169,5958,7999,Moderate Health
26.612299,316,4031,1817,Good Health
26.436213,2843,4467,2147483647,Bad Health
25.970942,6839,5090,4228,Moderate Health
26.868219,1064,5769,2147483647,Bad Health
26.436213,7053,4606,2147483647,Bad Health
26.436213,5327,5970,2147483647,Bad Health
26.31933,5568,4763,2147483647,Bad Health
26.144709,4128,520,8000,Good Health
26.241602,1711,1771,2147483647,Bad Health
26.144709,678,4625,2147483647,Bad Health
26.33877,182,7018,4456,Moderate Health
26.183435,365,2330,361,Good Health
26.436213,300,806,2147483647,Bad Health
24.740503,1818,2281,2147483647,Bad Health
26.222193,7089,6406,2147483647,Bad Health
26.183435,7756,4167,1148,Moderate Health
26.144709,179,181,2147483647,Bad Health
26.241602,7168,6472,2147483647,Bad Health
25.587854,6652,216,7334,Moderate Health
25.587854,7943,2008,2147483647,Bad Health
26.33877,2264,3814,5399,Good Health
26.612299,3452,7260,2147483647,Bad Health
27.952295,1939,1131,4589,Good Health
26.33877,168,7349,2147483647,Bad Health
25.265406,158,752,2147483647,Bad Health
26.241602,148,3393,2147483647,Bad Health
26.183435,116,4909,2147483647,Bad Health
26.12536,2230,2125,1682,Good Health
26.009485,2375,2419,2147483647,Bad Health
25.568811,4667,7482,2147483647,Bad Health
26.183435,612,7819,2147483647,Bad Health
26.241602,1156,3576,2147483647,Bad Health
25.435755,7643,7463,2147483647,Bad Health
26.397211,4129,6100,2147483647,Bad Health
26.183435,4230,4773,1871,Moderate Health
25.322107,181,4067,7733,Good Health
26.494806,7347,1125,2147483647,Bad Health
25.778894,7157,6524,2147483647,Bad Health
26.612299,2182,1675,3064,Good Health
26.553492,7766,6985,2147483647,Bad Health
26.299891,7719,841,1756,Moderate Health
26.612299,191,2194,2147483647,Bad Health
26.53393,134,5699,2147483647,Bad Health
26.573084,743,1826,2147483647,Bad Health
26.868219,2264,4198,637,Moderate Health
25.913233,2260,1520,2509,Good Health
25.855585,8000,7540,7739,Moderate Health
25.817225,250,6524,2147483647,Bad Health
25.817225,2235,7534,3360,Moderate Health
25.645044,276,173,2147483647,Bad Health
26.53393,4148,1320,2147483647,Bad Health
25.664148,2271,7140,2147483647,Bad Health
26.202814,8000,2264,2147483647,Bad Health
25.759729,2210,412,2147483647,Bad Health
26.553492,2266,2388,764,Good Health
26.612299,3785,5226,2147483647,Bad Health
26.53393,2690,5108,3388,Moderate Health
26.53393,6919,178,497,Moderate Health
26.183435,612,1248,2147483647,Bad Health
26.553492,428,6986,5724,Moderate Health
26.769556,5943,7860,2147483647,Bad Health
26.573084,2262,259,3376,Good Health
25.970942,2254,1063,2147483647,Bad Health
28.54928,4109,3389,2147483647,Bad Health
26.067377,2241,5522,7153,Moderate Health
26.769556,5285,2765,2147483647,Bad Health
24.908411,4467,3146,2147483647,Bad Health
